trip_id,realtime_trip_id
9921115-125-C-Weekday-50,2961085
9921116-125-C-Weekday-50,2921044
9921117-125-C-Weekday-50,2921029
9921118-125-C-Weekday-50-SDon-1101100,671014
9921119-125-C-Weekday-50,2921024
9921120-125-C-Weekday-50,2921051
9921121-125-C-Weekday-50,2961006
9921122-125-C-Weekday-50,2961001
9921123-125-C-Weekday-50,2961020
9921124-125-C-Weekday-50,2921015
9921125-125-C-Weekday-50-SDon-0010000,291001
9921126-125-C-Weekday-50,2961063
9921127-125-C-Weekday-50,2961084
9921128-125-C-Weekday-50,2961081
9921129-125-C-Weekday-50,2961102
9921130-125-C-Weekday-50,2961101
9921131-125-C-Weekday-50,2961112
9921132-125-C-Weekday-50,2921074
9921133-125-C-Weekday-50,2921073
9921134-125-C-Weekday-50,2921004
9921135-125-C-Weekday-50,2921013
9921136-125-C-Weekday-50,2921020
9921137-125-C-Weekday-50,2921030
9921138-125-C-Weekday-50,2921037
9921139-125-C-Weekday-50,2921003
9921140-125-C-Weekday-50,2921052
9921141-125-C-Weekday-50,2921057
9921142-125-C-Weekday-50,2921011
9921143-125-C-Weekday-50,2921088
9921144-125-C-Weekday-50,2921006
9921145-125-C-Weekday-50,2921082
9921146-125-C-Weekday-50,2921019
9921147-125-C-Weekday-50,2921077
9921148-125-C-Weekday-50,1221049
9921149-125-C-Weekday-50,2921002
9921150-125-C-Weekday-50,2921009
9921151-125-C-Weekday-50,1221044
9921152-125-C-Weekday-50,2921026
9921153-125-C-Weekday-50,1221033
9921154-125-C-Weekday-50,1221032
9921155-125-C-Weekday-50,2921048
9921156-125-C-Weekday-50,2041001
9921157-125-C-Weekday-50,2961083
9921158-125-C-Weekday-50,1221021
9921159-125-C-Weekday-50,1221020
9921160-125-C-Weekday-50-SDon,541002
9921161-125-C-Weekday-50,1221009
9921162-125-C-Weekday-50,2921028
9921163-125-C-Weekday-50,2921035
9921164-125-C-Weekday-50,1221006
9921165-125-C-Weekday-50,2921050
9921166-125-C-Weekday-50,2921055
9921167-125-C-Weekday-50,1221002
9921168-125-C-Weekday-50,1221003
9921169-125-C-Weekday-50,2921061
9921170-125-C-Weekday-50,2961077
9921171-125-C-Weekday-50,2961098
9921172-125-C-Weekday-50,2961097
9921173-125-C-Weekday-50,2961110
9921174-125-C-Weekday-50,2961109
9921175-125-C-Weekday-50,2921054
9921176-125-C-Weekday-50,1221016
9921177-125-C-Weekday-50-SDon-0010000,611003
9921178-125-C-Weekday-50-SDon-0100000,461003
9921179-125-C-Weekday-50,1221017
9921180-125-C-Weekday-50-SDon-1100100,831008
9921181-125-C-Weekday-50-SDon-0010000,681006
9921182-125-C-Weekday-50,1221028
9921183-125-C-Weekday-50,1221029
9921184-125-C-Weekday-50,2961012
9921185-125-C-Weekday-50,2961007
9921186-125-C-Weekday-50,2961026
9921187-125-C-Weekday-50,2961023
9921188-125-C-Weekday-50,2961042
9921189-125-C-Weekday-50,2961039
9921190-125-C-Weekday-50,2961058
9921191-125-C-Weekday-50,2961055
9921192-125-C-Weekday-50,2961074
9921193-125-C-Weekday-50,2961071
9921194-125-C-Weekday-50,2961092
9921195-125-C-Weekday-50,2921060
9921196-125-C-Weekday-50,1221040
9921197-125-C-Weekday-50,2961014
9921198-125-C-Weekday-50,2961011
9921199-125-C-Weekday-50,2961030
9921200-125-C-Weekday-50,2961027
9921201-125-C-Weekday-50,2961046
9921202-125-C-Weekday-50,2961043
9921203-125-C-Weekday-50,2961062
9921204-125-C-Weekday-50,2961059
9921205-125-C-Weekday-50,2961078
9921206-125-C-Weekday-50,2921043
9921207-125-C-Weekday-50,2921036
9921208-125-C-Weekday-50,2921010
9921209-125-C-Weekday-50,1221043
9921210-125-C-Weekday-50,2921023
