trip_id,direction_id,Direction,realtime_directioncode
9913402-125-D-Weekday-50,1,South,2951005
9913403-125-D-Weekday-50,0,North,2951008
9913405-125-D-Weekday-50,1,South,1121003
9913437-125-D-Weekday-50-SDon,0,East,241002
9913438-125-D-Weekday-50-SDon,1,West,491001
9913467-125-D-Weekday-50-SDon-1101100,0,East,251004
9913468-125-D-Weekday-50-SDon-0010000,0,East,531004
9913470-125-D-Weekday-50-SDon-0010000,0,North,281002
9913488-125-D-Weekday-50-SDon,1,South,281003
9913489-125-D-Weekday-50-SDon,0,East,291002
9913506-125-D-Weekday-50-SDon,0,North,621004
9913507-125-D-Weekday-50-SDon-1101100,1,West,581007
9913519-125-D-Weekday-50-SDon,0,North,391002
9913521-125-D-Weekday-50-SDon-0001000,0,East,791001
9913531-125-D-Weekday-50-SDon-0010000,0,East,671002
9913545-125-D-Weekday-50-SDon,0,East,591004
9913554-125-D-Weekday-50-SDon,1,West,351003
9913557-125-D-Weekday-50-SDon-0010000,1,West,541001
9913560-125-D-Weekday-50,1,South,1181009
9913606-125-D-Weekday-50-SDon,0,North,461004
9913639-125-D-Weekday-50-SDon-0001000,0,East,564004
9913666-125-D-Weekday-50-SDon,0,North,161004
9913667-125-D-Weekday-50-SDon-0010000,0,East,601004
9913669-125-D-Weekday-50-SDon-0010000,1,South,191001
9913679-125-D-Weekday-50-SDon,0,East,371002
9913685-125-D-Weekday-50,1,South,2701001
9913686-125-D-Weekday-50,0,North,2701002
9913707-125-D-Weekday-50,0,East,2601030
9913708-125-D-Weekday-50,1,West,2601029
9913709-125-D-Weekday-50,1,West,2741029
9913710-125-D-Weekday-50,0,East,2741028
9913716-125-D-Weekday-50,0,East,2811094
9913717-125-D-Weekday-50,1,West,2811095
9913722-125-D-Weekday-50-SDon,0,East,721008
9913725-125-D-Weekday-50,0,East,2511012
9913726-125-D-Weekday-50,1,West,2511011
9913727-125-D-Weekday-50,1,West,2501027
9913729-125-D-Weekday-50,0,North,2761018
9913730-125-D-Weekday-50,1,South,2761019
9913767-125-D-Weekday-50-SDon-0011000,1,West,811005
9913769-125-D-Weekday-50-SDon,0,East,871002
9913771-125-D-Weekday-50-SDon,1,West,721001
9913785-125-D-Weekday-50,1,West,2751015
9913786-125-D-Weekday-50,0,East,2751018
9913801-125-D-Weekday-50,1,West,2801013
9913802-125-D-Weekday-50,0,East,2801016
9913804-125-D-Weekday-50-SDon-1100100,0,East,831006
9913808-125-D-Weekday-50-SDon-1101100,0,East,681010
9913812-125-D-Weekday-50,0,East,2861014
9913817-125-D-Weekday-50-SDon,1,West,821001
9913819-125-D-Weekday-50,0,East,2501020
9913847-125-D-Weekday-50-SDon-0010000,1,West,783001
9913852-125-D-Weekday-50-SDon-0011000,0,East,841002
9913853-125-D-Weekday-50-SDon,1,West,2861005
9913883-125-D-Weekday-50-SDon,1,West,831003
9913899-125-D-Weekday-50-SDon-1101100,1,South,611005
9913907-125-D-Weekday-50-SDon,1,South,951001
9913915-125-D-Weekday-50-SDon-0010000,1,West,851001
9913928-125-D-Weekday-50-SDon,1,South,551001
9913950-125-D-Weekday-50-SDon,0,East,581002
9913956-125-D-Weekday-50-SDon,1,West,371001
9913997-125-D-Weekday-50-SDon,1,West,881001
9914029-125-D-Weekday-50-SDon-1100100,0,East,821004
9914030-125-D-Weekday-50-SDon-0001000,0,East,801002
9914044-125-D-Weekday-50-SDon,0,North,951002
9914052-125-D-Weekday-50-SDon,1,West,681001
9914062-125-D-Weekday-50-SDon,1,West,671003
9914063-125-D-Weekday-50-SDon,1,South,621001
9914080-125-D-Weekday-50-SDon,0,East,571002
9914087-125-D-Weekday-50-SDon-0010000,1,West,871003
9914098-125-D-Weekday-50-SDon,1,West,791006
9914120-125-D-Weekday-50-SDon-1011100,1,South,461007
9914134-125-D-Weekday-50-SDon-1110100,0,East,731006
9914208-125-D-Weekday-50-SDon-0001000,0,East,881002
9914210-125-D-Weekday-50-SDon,1,West,731001
9914255-125-D-Weekday-50,0,North,1181010
9914274-125-D-Weekday-50-SDon,0,North,191002
9914294-125-D-Weekday-50-SDon,1,West,241001
