route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
296-158,125-C-Weekday-50,9921054-125-C-Weekday-50,"Redwood City Transit Center",2961032,0,,2960218
296-158,125-C-Weekday-50,9921055-125-C-Weekday-50,"Redwood City Transit Center",2961029,1,,2960240
296-158,125-C-Weekday-50,9921056-125-C-Weekday-50,"Redwood City Transit Center",2961048,0,,2960218
296-158,125-C-Weekday-50,9921057-125-C-Weekday-50,"Redwood City Transit Center",2961045,1,,2960240
296-158,125-C-Weekday-50,9921058-125-C-Weekday-50,"Redwood City Transit Center",2961064,0,,2960218
296-158,125-C-Weekday-50,9921059-125-C-Weekday-50,"Redwood City Transit Center",2961061,1,,2960240
296-158,125-C-Weekday-50,9921060-125-C-Weekday-50,"Redwood City Transit Center",2961082,0,,2960218
122-158,125-C-Weekday-50,9921061-125-C-Weekday-50,"Stonestown/SF State",1221070,0,,1220498
122-158,125-C-Weekday-50,9921062-125-C-Weekday-50,"South SF BART",1221059,1,,1220499
296-158,125-C-Weekday-50,9921063-125-C-Weekday-50,"Redwood City Transit Center",2961017,1,,2960240
296-158,125-C-Weekday-50,9921064-125-C-Weekday-50,"Redwood City Transit Center",2961036,0,,2960218
296-158,125-C-Weekday-50,9921065-125-C-Weekday-50,"Redwood City Transit Center",2961033,1,,2960240
296-158,125-C-Weekday-50,9921066-125-C-Weekday-50,"Redwood City Transit Center",2961052,0,,2960218
296-158,125-C-Weekday-50,9921067-125-C-Weekday-50,"Redwood City Transit Center",2961049,1,,2960240
296-158,125-C-Weekday-50,9921068-125-C-Weekday-50,"Redwood City Transit Center",2961068,0,,2960218
122-158,125-C-Weekday-50,9921069-125-C-Weekday-50,"Stonestown/SF State",1221058,0,,1220498
59-158,125-C-Weekday-50-SDon,9921070-125-C-Weekday-50-SDon,"Hillsdale/Norfolk",591002,0,,590060
122-158,125-C-Weekday-50,9921071-125-C-Weekday-50,"South SF BART",1221045,1,,1220499
122-158,125-C-Weekday-50,9921072-125-C-Weekday-50,"Stonestown/SF State",1221042,0,,1220498
122-158,125-C-Weekday-50,9921073-125-C-Weekday-50,"South SF BART",1221031,1,,1220499
122-158,125-C-Weekday-50,9921074-125-C-Weekday-50,"Stonestown/SF State",1221030,0,,1220498
59-158,125-C-Weekday-50-SDon-1110100,9921075-125-C-Weekday-50-SDon-1110100,"Aragon High",591003,1,,590054
122-158,125-C-Weekday-50,9921076-125-C-Weekday-50,"South SF BART",1221019,1,,1220499
122-158,125-C-Weekday-50,9921077-125-C-Weekday-50,"Stonestown/SF State",1221018,0,,1220498
296-158,125-C-Weekday-50,9921078-125-C-Weekday-50,"Redwood City Transit Center",2961075,1,,2960240
296-158,125-C-Weekday-50,9921079-125-C-Weekday-50,"Redwood City Transit Center",2961096,0,,2960218
296-158,125-C-Weekday-50,9921080-125-C-Weekday-50,"Redwood City Transit Center",2961095,1,,2960240
122-158,125-C-Weekday-50,9921081-125-C-Weekday-50,"South SF BART",1221005,1,,1220499
292-158,125-C-Weekday-50,9921082-125-C-Weekday-50,"Hillsdale Mall",2921005,1,,2921016
296-158,125-C-Weekday-50,9921083-125-C-Weekday-50,"Palo Alo Transit Center",2961113,1,,2960241
292-158,125-C-Weekday-50,9921084-125-C-Weekday-50,"Hillsdale Mall",2921063,1,,2921015
296-158,125-C-Weekday-50,9921085-125-C-Weekday-50,"Palo Alo Transit Center",2961115,1,,2960241
122-158,125-C-Weekday-50,9921086-125-C-Weekday-50,"Stonestown/SF State",1221050,0,,1220498
296-158,125-C-Weekday-50,9921087-125-C-Weekday-50,"Palo Alo Transit Center",2961117,1,,2960241
122-158,125-C-Weekday-50,9921088-125-C-Weekday-50,"South SF BART",1221037,1,,1220499
296-158,125-C-Weekday-50,9921089-125-C-Weekday-50,"Palo Alo Transit Center",2961119,1,,2960241
122-158,125-C-Weekday-50,9921090-125-C-Weekday-50,"Stonestown/SF State",1221036,0,,1220498
122-158,125-C-Weekday-50,9921091-125-C-Weekday-50,"South SF BART",1221025,1,,1220499
296-158,125-C-Weekday-50,9921092-125-C-Weekday-50,"Redwood City Transit Center",2961010,0,,2960218
296-158,125-C-Weekday-50,9921093-125-C-Weekday-50,"Redwood City Transit Center",2961005,1,,2960240
296-158,125-C-Weekday-50,9921094-125-C-Weekday-50,"Redwood City Transit Center",2961024,0,,2960218
122-158,125-C-Weekday-50,9921095-125-C-Weekday-50,"Stonestown/SF State",1221024,0,,1220498
122-158,125-C-Weekday-50,9921096-125-C-Weekday-50,"South SF BART",1221013,1,,1220499
KX-158,125-C-Weekday-50,9921097-125-C-Weekday-50,"San Francisco",2041002,0,,KX0140
292-158,125-C-Weekday-50,9921098-125-C-Weekday-50,"Hillsdale Mall",2921017,1,,2921015
122-158,125-C-Weekday-50,9921099-125-C-Weekday-50,"Stonestown/SF State",1221010,0,,1220498
292-158,125-C-Weekday-50,9921100-125-C-Weekday-50,"San Francisco",2921032,0,,2921014
292-158,125-C-Weekday-50,9921101-125-C-Weekday-50,"Hillsdale Mall",2921039,1,,2921016
292-158,125-C-Weekday-50,9921102-125-C-Weekday-50,"San Francisco",2921022,0,,2921014
292-158,125-C-Weekday-50,9921103-125-C-Weekday-50,"San Francisco",2921056,0,,2921014
KX-158,125-C-Weekday-50,9921104-125-C-Weekday-50,"Redwood City Transit Center",2041005,1,,KX0141
292-158,125-C-Weekday-50,9921105-125-C-Weekday-50,"Hillsdale Mall",2921031,1,,2921015
292-158,125-C-Weekday-50,9921106-125-C-Weekday-50,"San Francisco",2921070,0,,2921014
296-158,125-C-Weekday-50,9921107-125-C-Weekday-50,"Redwood City Transit Center",2961008,0,,2960218
296-158,125-C-Weekday-50,9921108-125-C-Weekday-50,"Redwood City Transit Center",2961003,1,,2960240
296-158,125-C-Weekday-50,9921109-125-C-Weekday-50,"Redwood City Transit Center",2961022,0,,2960218
292-158,125-C-Weekday-50,9921110-125-C-Weekday-50,"San Francisco",2921018,0,,2921014
292-158,125-C-Weekday-50,9921111-125-C-Weekday-50,"Hillsdale Mall",2921049,1,,2921015
292-158,125-C-Weekday-50,9921112-125-C-Weekday-50,"San Francisco",2921042,0,,2921014
296-158,125-C-Weekday-50,9921113-125-C-Weekday-50,"Redwood City Transit Center",2961065,1,,2960240
296-158,125-C-Weekday-50,9921114-125-C-Weekday-50,"Redwood City Transit Center",2961086,0,,2960218
296-158,125-C-Weekday-50,9921115-125-C-Weekday-50,"Redwood City Transit Center",2961085,1,,2960240
292-158,125-C-Weekday-50,9921116-125-C-Weekday-50,"San Francisco",2921044,0,,2921014
292-158,125-C-Weekday-50,9921117-125-C-Weekday-50,"Hillsdale Mall",2921029,1,,2921016
67-158,125-C-Weekday-50-SDon-1101100,9921118-125-C-Weekday-50-SDon-1101100,"Bridge/Bowsprit",671014,0,,670091
292-158,125-C-Weekday-50,9921119-125-C-Weekday-50,"San Francisco",2921024,0,,2921017
292-158,125-C-Weekday-50,9921120-125-C-Weekday-50,"Hillsdale Mall",2921051,1,,2921016
296-158,125-C-Weekday-50,9921121-125-C-Weekday-50,"Redwood City Transit Center",2961006,0,,2960218
