trip_id,stop_id
9898125-125-A-Weekday-50,314901
9898125-125-A-Weekday-50,313011
9898125-125-A-Weekday-50,313604
9898125-125-A-Weekday-50,312009
9898125-125-A-Weekday-50,311106
9898126-125-A-Weekday-50,315608
9898126-125-A-Weekday-50,315467
9898126-125-A-Weekday-50,315003
9898126-125-A-Weekday-50,315035
9898126-125-A-Weekday-50,315033
9898126-125-A-Weekday-50,315617
9898126-125-A-Weekday-50,315614
9898126-125-A-Weekday-50,315040
9898126-125-A-Weekday-50,315609
9898126-125-A-Weekday-50,314012
9898126-125-A-Weekday-50,314002
9898126-125-A-Weekday-50,314901
9898126-125-A-Weekday-50,313011
9898126-125-A-Weekday-50,313604
9898126-125-A-Weekday-50,312009
9898126-125-A-Weekday-50,311106
9898127-125-A-Weekday-50,315608
9898127-125-A-Weekday-50,315003
9898127-125-A-Weekday-50,315035
9898127-125-A-Weekday-50,315033
9898127-125-A-Weekday-50,315617
9898127-125-A-Weekday-50,315614
9898127-125-A-Weekday-50,315040
9898127-125-A-Weekday-50,315609
9898127-125-A-Weekday-50,314012
9898127-125-A-Weekday-50,314002
9898127-125-A-Weekday-50,314901
9898127-125-A-Weekday-50,313011
9898127-125-A-Weekday-50,313604
9898127-125-A-Weekday-50,312009
9898127-125-A-Weekday-50,311106
9898128-125-A-Weekday-50,315608
9898128-125-A-Weekday-50,315467
9898128-125-A-Weekday-50,315003
9898128-125-A-Weekday-50,315035
9898128-125-A-Weekday-50,315033
9898128-125-A-Weekday-50,315617
9898128-125-A-Weekday-50,315040
9898128-125-A-Weekday-50,315614
9898128-125-A-Weekday-50,315609
9898128-125-A-Weekday-50,314012
9898128-125-A-Weekday-50,314002
9898128-125-A-Weekday-50,314901
9898128-125-A-Weekday-50,313011
9898128-125-A-Weekday-50,312018
9898128-125-A-Weekday-50,312008
9898128-125-A-Weekday-50,312009
9898128-125-A-Weekday-50,311106
9898129-125-A-Weekday-50,316005
9898129-125-A-Weekday-50,316903
9898129-125-A-Weekday-50,315608
9898129-125-A-Weekday-50,315003
